Seat No,Gender,DOB,Attempt,city,State,Category,Phy,Chem,Bio,Total,Year
NEET2024100598,Male,25/11/2007,3,Hyderabad,Telangana,EWS,102,176,185,463,2025
NEET2026100599,Male,23/01/2006,1,Solapur,Maharashtra,ST,42,63,74,179,2023
NEET2025100600,Female,18/12/2000,3,Thane,Maharashtra,OBC,130,75,288,493,2023
NEET2023100601,Female,22/06/2008,1,Hyderabad,Telangana,ST,149,175,127,451,2025
NEET2024100602,Male,04/09/2007,3,Delhi,Delhi,SC,149,150,178,477,2026
NEET2026100603,Male,21/01/2002,1,Bengaluru,Karnataka,ST,114,113,292,519,2023
NEET2025100604,Male,10/12/2003,1,Solapur,Maharashtra,ST,148,73,204,425,2023
NEET2026100605,Female,27/08/2003,4,Sangli,Maharashtra,OBC,48,107,332,487,2024
NEET2025100606,Male,22/02/2006,4,Nagpur,Maharashtra,ST,153,128,93,374,2025
NEET2026100607,Male,08/02/2006,4,Bengaluru,Karnataka,SC,90,74,99,263,2023
NEET2023100608,Female,28/12/2004,3,Nagpur,Maharashtra,ST,108,133,95,336,2023
NEET2024100609,Male,05/01/2001,4,Nashik,Maharashtra,EWS,65,178,60,303,2025
NEET2024100610,Female,16/05/2004,3,Ratnagiri,Maharashtra,EWS,177,144,160,481,2025
NEET2023100611,Female,15/11/2004,2,Bengaluru,Karnataka,SC,118,52,358,528,2023
NEET2025100612,Male,21/02/2004,3,Kolkata,West Bengal,General,170,43,60,273,2024
NEET2026100613,Female,03/11/2004,4,Bengaluru,Karnataka,EWS,130,111,255,496,2024
NEET2026100614,Female,06/06/2007,4,Nagpur,Maharashtra,OBC,151,65,156,372,2025
NEET2023100615,Male,07/07/2007,4,Nagpur,Maharashtra,ST,64,32,96,192,2024
NEET2024100616,Female,12/12/2000,4,Nagpur,Maharashtra,EWS,136,146,277,559,2026
NEET2023100617,Female,24/04/2004,2,Kolhapur,Maharashtra,EWS,87,77,277,441,2025
NEET2023100618,Male,09/08/2004,4,Kolkata,West Bengal,SC,169,177,247,593,2023
NEET2025100619,Female,04/07/2006,1,Solapur,Maharashtra,EWS,50,66,329,445,2023
NEET2025100620,Male,01/10/2002,3,Solapur,Maharashtra,EWS,49,168,356,573,2023
NEET2025100621,Female,04/04/2005,3,Solapur,Maharashtra,SC,161,150,353,664,2025
NEET2023100622,Female,17/11/2001,2,Mumbai,Maharashtra,EWS,107,174,193,474,2023
NEET2023100623,Male,12/05/2007,1,Aurangabad,Maharashtra,SC,36,103,308,447,2025
NEET2023100624,Male,26/06/2001,2,Ratnagiri,Maharashtra,EWS,101,100,191,392,2024
NEET2024100625,Female,23/05/2007,2,Solapur,Maharashtra,EWS,124,74,193,391,2023
NEET2026100626,Female,05/11/2003,2,Pune,Maharashtra,ST,67,69,313,449,2024
NEET2023100627,Male,13/05/2002,2,Ratnagiri,Maharashtra,ST,118,43,195,356,2026
NEET2026100628,Female,04/05/2005,4,Aurangabad,Maharashtra,SC,151,166,179,496,2024
NEET2026100629,Female,12/12/2005,3,Chennai,Tamil Nadu,EWS,141,33,207,381,2023
NEET2025100630,Female,02/02/2001,3,Kolkata,West Bengal,SC,166,120,281,567,2023
NEET2024100631,Male,11/11/2002,3,Delhi,Delhi,OBC,179,130,296,605,2025
NEET2026100632,Male,21/02/2006,1,Mumbai,Maharashtra,ST,32,47,66,145,2025
NEET2023100633,Male,17/06/2002,1,Bengaluru,Karnataka,General,102,94,158,354,2024
NEET2024100634,Female,21/09/2006,2,Delhi,Delhi,General,61,60,104,225,2024
NEET2025100635,Female,03/11/2002,3,Aurangabad,Maharashtra,SC,149,49,292,490,2024
NEET2026100636,Female,02/10/2008,1,Pune,Maharashtra,SC,100,45,255,400,2025
NEET2026100637,Male,29/12/2001,4,Solapur,Maharashtra,General,47,155,162,364,2024
NEET2026100638,Female,23/01/2006,1,Hyderabad,Telangana,General,140,85,114,339,2023
NEET2026100639,Male,15/10/2000,1,Ratnagiri,Maharashtra,General,94,144,69,307,2026
NEET2023100640,Female,27/12/2002,4,Nagpur,Maharashtra,ST,114,130,354,598,2026
NEET2023100641,Female,28/02/2008,4,Hyderabad,Telangana,General,47,168,175,390,2025
NEET2023100642,Female,27/09/2003,3,Delhi,Delhi,General,107,132,88,327,2026
NEET2023100643,Female,11/07/2008,2,Hyderabad,Telangana,SC,104,81,150,335,2026
NEET2026100644,Male,13/03/2001,2,Delhi,Delhi,General,121,154,103,378,2024
NEET2023100645,Female,13/04/2000,4,Bengaluru,Karnataka,EWS,91,155,259,505,2026
NEET2023100646,Female,08/03/2000,1,Mumbai,Maharashtra,OBC,116,44,232,392,2026
NEET2024100647,Male,09/08/2007,1,Chennai,Tamil Nadu,OBC,167,68,356,591,2026
NEET2024100648,Male,02/05/2007,2,Mumbai,Maharashtra,General,150,41,184,375,2025
NEET2023100649,Male,24/11/2008,4,Pune,Maharashtra,EWS,146,73,92,311,2024
NEET2026100650,Female,15/09/2000,1,Hyderabad,Telangana,EWS,81,139,232,452,2024
NEET2025100651,Male,10/08/2003,1,Chennai,Tamil Nadu,SC,84,41,148,273,2024
NEET2024100652,Female,29/06/2008,2,Thane,Maharashtra,EWS,73,124,343,540,2023
NEET2026100653,Male,30/06/2001,1,Pune,Maharashtra,General,126,70,68,264,2024
NEET2024100654,Male,31/12/2000,2,Bengaluru,Karnataka,SC,102,136,303,541,2026
NEET2026100655,Male,14/08/2004,3,Nashik,Maharashtra,SC,74,39,152,265,2026
NEET2023100656,Female,19/01/2000,2,Sangli,Maharashtra,ST,90,79,120,289,2024
NEET2026100657,Female,06/02/2003,2,Mumbai,Maharashtra,OBC,79,58,136,273,2023
NEET2026100658,Female,09/08/2000,3,Delhi,Delhi,EWS,123,102,167,392,2026
NEET2024100659,Male,26/06/2000,4,Pune,Maharashtra,EWS,43,167,150,360,2023
NEET2025100660,Female,17/10/2000,2,Kolkata,West Bengal,SC,90,143,356,589,2024
NEET2024100661,Female,25/09/2008,2,Pune,Maharashtra,ST,113,88,110,311,2024
NEET2026100662,Male,28/10/2000,2,Solapur,Maharashtra,EWS,179,154,87,420,2026
NEET2024100663,Female,30/12/2001,3,Thane,Maharashtra,OBC,125,64,294,483,2025
NEET2024100664,Male,05/06/2001,4,Mumbai,Maharashtra,ST,175,45,203,423,2026
NEET2024100665,Male,02/12/2001,2,Hyderabad,Telangana,General,117,86,211,414,2026
NEET2025100666,Male,07/11/2005,4,Solapur,Maharashtra,OBC,85,151,296,532,2024
NEET2023100667,Female,02/09/2003,1,Thane,Maharashtra,General,178,86,136,400,2026
NEET2026100668,Female,23/03/2008,1,Hyderabad,Telangana,ST,159,38,277,474,2026
NEET2024100669,Male,12/09/2002,3,Pune,Maharashtra,SC,172,33,268,473,2024
NEET2024100670,Female,06/04/2007,1,Pune,Maharashtra,ST,34,152,216,402,2026
NEET2026100671,Male,27/08/2008,1,Nagpur,Maharashtra,ST,133,77,249,459,2025
NEET2024100672,Male,14/12/2005,3,Mumbai,Maharashtra,General,105,139,198,442,2025
NEET2023100673,Female,30/07/2000,3,Pune,Maharashtra,OBC,128,123,298,549,2023
NEET2024100674,Male,15/04/2006,4,Bengaluru,Karnataka,EWS,82,65,231,378,2024
NEET2025100675,Female,11/06/2008,3,Bengaluru,Karnataka,General,87,112,240,439,2023
NEET2023100676,Female,07/03/2004,3,Kolhapur,Maharashtra,ST,145,154,316,615,2025
NEET2023100677,Male,20/12/2008,4,Delhi,Delhi,OBC,46,78,294,418,2025
NEET2024100678,Female,11/11/2000,2,Pune,Maharashtra,OBC,72,100,117,289,2023
NEET2025100679,Female,15/04/2003,4,Thane,Maharashtra,General,168,63,302,533,2025
NEET2025100680,Female,13/02/2002,3,Pune,Maharashtra,SC,35,89,326,450,2026
NEET2026100681,Female,27/08/2006,2,Delhi,Delhi,SC,165,170,287,622,2024
NEET2025100682,Male,06/11/2008,2,Aurangabad,Maharashtra,SC,88,153,250,491,2025
NEET2024100683,Male,10/02/2005,2,Nagpur,Maharashtra,OBC,71,167,206,444,2024
NEET2026100684,Female,23/04/2001,3,Mumbai,Maharashtra,OBC,111,177,124,412,2024
NEET2024100685,Female,22/04/2006,4,Bengaluru,Karnataka,EWS,38,111,236,385,2024
NEET2026100686,Male,25/12/2005,4,Aurangabad,Maharashtra,SC,61,36,267,364,2024
NEET2025100687,Female,18/01/2000,3,Bengaluru,Karnataka,EWS,169,159,229,557,2024
NEET2026100688,Male,19/12/2008,2,Ratnagiri,Maharashtra,EWS,143,116,117,376,2023
NEET2025100689,Male,15/06/2003,3,Mumbai,Maharashtra,General,132,86,288,506,2024
NEET2023100690,Male,17/07/2006,4,Sangli,Maharashtra,General,86,101,160,347,2026
NEET2025100691,Female,07/03/2002,2,Solapur,Maharashtra,ST,111,160,88,359,2025
NEET2025100692,Female,30/04/2004,4,Kolhapur,Maharashtra,EWS,33,102,236,371,2023
NEET2025100693,Male,02/06/2002,4,Bengaluru,Karnataka,ST,143,136,286,565,2024
NEET2025100694,Female,02/08/2006,3,Ratnagiri,Maharashtra,General,52,66,166,284,2026
NEET2024100695,Female,28/12/2000,2,Mumbai,Maharashtra,OBC,134,99,272,505,2024
NEET2025100696,Female,12/04/2004,4,Aurangabad,Maharashtra,EWS,171,155,81,407,2026
NEET2025100697,Female,08/07/2002,1,Mumbai,Maharashtra,SC,30,69,194,293,2026
NEET2025100698,Female,04/01/2002,1,Solapur,Maharashtra,EWS,92,37,121,250,2025
NEET2026100699,Male,08/07/2006,3,Solapur,Maharashtra,EWS,174,141,192,507,2023
NEET2025100700,Female,29/11/2002,2,Nagpur,Maharashtra,SC,178,44,134,356,2024
NEET2023100701,Female,04/08/2000,3,Aurangabad,Maharashtra,EWS,122,137,242,501,2023
NEET2025100702,Female,05/10/2005,3,Nashik,Maharashtra,SC,76,54,145,275,2025
NEET2023100703,Male,27/01/2001,3,Sangli,Maharashtra,SC,178,120,133,431,2026
NEET2024100704,Male,14/08/2004,2,Kolhapur,Maharashtra,EWS,71,56,171,298,2023
NEET2023100705,Female,05/09/2004,3,Solapur,Maharashtra,SC,49,59,127,235,2025
NEET2024100706,Female,23/07/2001,1,Chennai,Tamil Nadu,General,143,163,235,541,2024
NEET2024100707,Male,11/06/2001,2,Chennai,Tamil Nadu,General,66,88,217,371,2026
NEET2026100708,Female,30/09/2007,1,Hyderabad,Telangana,OBC,58,49,69,176,2023
NEET2023100709,Female,14/05/2000,1,Hyderabad,Telangana,General,161,45,300,506,2025
NEET2024100710,Male,27/06/2007,3,Mumbai,Maharashtra,General,54,61,165,280,2023
NEET2025100711,Male,19/08/2001,2,Chennai,Tamil Nadu,EWS,101,178,238,517,2023
NEET2024100712,Male,09/02/2001,3,Chennai,Tamil Nadu,OBC,178,33,330,541,2023
NEET2025100713,Male,19/02/2008,4,Pune,Maharashtra,General,84,159,303,546,2024
NEET2024100714,Female,24/12/2003,1,Thane,Maharashtra,SC,138,84,323,545,2023
NEET2025100715,Female,23/03/2005,1,Pune,Maharashtra,General,163,64,313,540,2025
NEET2025100716,Female,15/07/2005,2,Pune,Maharashtra,EWS,128,102,293,523,2026
NEET2026100717,Female,05/04/2003,2,Chennai,Tamil Nadu,General,139,78,95,312,2026
NEET2023100718,Male,15/07/2007,2,Pune,Maharashtra,ST,131,142,327,600,2026
NEET2025100719,Male,17/10/2007,3,Ratnagiri,Maharashtra,OBC,56,73,93,222,2026
NEET2025100720,Female,17/05/2001,3,Nashik,Maharashtra,ST,138,157,202,497,2026
NEET2023100721,Male,07/06/2005,3,Sangli,Maharashtra,ST,101,67,292,460,2026
NEET2023100722,Male,03/08/2002,4,Delhi,Delhi,General,64,37,110,211,2024
NEET2023100723,Male,16/04/2004,4,Ratnagiri,Maharashtra,ST,113,69,215,397,2024
NEET2025100724,Female,17/04/2003,1,Delhi,Delhi,General,157,155,318,630,2026
NEET2026100725,Female,02/05/2001,1,Thane,Maharashtra,General,145,110,252,507,2024
NEET2026100726,Male,30/03/2006,3,Delhi,Delhi,ST,107,72,311,490,2026
NEET2026100727,Female,26/07/2008,2,Pune,Maharashtra,EWS,175,155,343,673,2023
NEET2025100728,Female,22/05/2004,1,Aurangabad,Maharashtra,General,156,126,240,522,2023
NEET2023100729,Female,09/06/2001,4,Chennai,Tamil Nadu,General,123,119,358,600,2026
NEET2024100730,Male,14/11/2003,2,Kolhapur,Maharashtra,SC,135,119,88,342,2023
NEET2024100731,Male,19/09/2007,3,Pune,Maharashtra,General,108,59,232,399,2026
NEET2026100732,Female,18/05/2007,1,Chennai,Tamil Nadu,ST,138,175,323,636,2023
NEET2023100733,Female,20/07/2003,1,Thane,Maharashtra,OBC,176,129,225,530,2025
NEET2025100734,Female,27/07/2005,2,Sangli,Maharashtra,ST,116,72,213,401,2023
NEET2025100735,Female,03/01/2006,2,Nashik,Maharashtra,EWS,103,97,84,284,2023
NEET2025100736,Male,18/01/2008,4,Chennai,Tamil Nadu,ST,178,54,232,464,2024
NEET2025100737,Female,23/11/2003,3,Hyderabad,Telangana,OBC,49,107,318,474,2026
NEET2024100738,Male,05/07/2004,2,Aurangabad,Maharashtra,EWS,161,146,340,647,2026
NEET2026100739,Male,22/05/2002,2,Delhi,Delhi,SC,149,98,332,579,2026
NEET2026100740,Female,28/08/2001,1,Nashik,Maharashtra,OBC,68,106,282,456,2026
NEET2024100741,Female,29/12/2002,2,Chennai,Tamil Nadu,General,103,71,191,365,2024
NEET2026100742,Female,25/02/2002,4,Mumbai,Maharashtra,General,92,109,297,498,2024
NEET2025100743,Male,14/10/2001,1,Aurangabad,Maharashtra,ST,64,37,192,293,2023
NEET2023100744,Female,14/08/2000,3,Chennai,Tamil Nadu,General,51,110,212,373,2026
NEET2023100745,Female,14/02/2008,4,Chennai,Tamil Nadu,General,65,90,117,272,2024
NEET2026100746,Male,22/09/2006,4,Pune,Maharashtra,OBC,110,114,359,583,2024
NEET2026100747,Female,13/03/2001,1,Nagpur,Maharashtra,ST,84,100,285,469,2025
NEET2026100748,Male,05/11/2007,3,Pune,Maharashtra,OBC,111,169,276,556,2025
NEET2023100749,Male,30/04/2005,2,Bengaluru,Karnataka,SC,124,108,70,302,2026
NEET2024100750,Female,20/06/2003,4,Delhi,Delhi,General,122,61,333,516,2026
NEET2024100751,Male,12/11/2002,4,Aurangabad,Maharashtra,SC,53,90,212,355,2026
NEET2026100752,Female,07/11/2008,3,Mumbai,Maharashtra,ST,100,50,311,461,2023
NEET2025100753,Female,18/10/2001,3,Bengaluru,Karnataka,ST,96,159,93,348,2023
NEET2023100754,Female,18/07/2008,2,Mumbai,Maharashtra,SC,77,143,129,349,2025
NEET2024100755,Female,16/06/2006,3,Pune,Maharashtra,ST,58,70,187,315,2026
NEET2025100756,Male,30/03/2008,1,Nagpur,Maharashtra,ST,96,74,227,397,2025
NEET2023100757,Male,15/01/2002,2,Thane,Maharashtra,General,126,176,174,476,2026
NEET2026100758,Female,23/03/2002,2,Aurangabad,Maharashtra,General,73,42,265,380,2025
NEET2026100759,Female,27/11/2001,4,Ratnagiri,Maharashtra,General,60,33,329,422,2024
NEET2026100760,Female,01/01/2008,2,Nashik,Maharashtra,ST,78,98,207,383,2024
NEET2024100761,Female,23/09/2006,2,Nashik,Maharashtra,General,102,78,274,454,2025
NEET2026100762,Male,08/12/2002,1,Nashik,Maharashtra,ST,145,93,249,487,2024
NEET2026100763,Female,17/08/2003,1,Bengaluru,Karnataka,General,131,84,256,471,2023
NEET2023100764,Male,01/08/2000,3,Kolhapur,Maharashtra,EWS,90,150,241,481,2026
NEET2023100765,Male,24/05/2003,3,Thane,Maharashtra,OBC,124,63,346,533,2026
NEET2025100766,Female,21/10/2003,2,Kolkata,West Bengal,SC,149,63,105,317,2023
NEET2025100767,Female,07/07/2003,3,Mumbai,Maharashtra,SC,62,157,203,422,2025
NEET2026100768,Male,18/10/2005,4,Kolhapur,Maharashtra,General,141,72,221,434,2024
NEET2026100769,Female,31/08/2001,2,Mumbai,Maharashtra,ST,88,76,78,242,2026
NEET2025100770,Female,20/04/2001,4,Kolkata,West Bengal,ST,156,40,286,482,2023
NEET2023100771,Male,27/01/2008,3,Chennai,Tamil Nadu,OBC,67,61,238,366,2024
NEET2024100772,Male,29/05/2008,2,Sangli,Maharashtra,ST,99,174,359,632,2023
NEET2023100773,Female,05/10/2002,1,Hyderabad,Telangana,ST,157,54,228,439,2025
NEET2023100774,Male,15/08/2006,4,Kolkata,West Bengal,ST,57,112,138,307,2026
NEET2026100775,Female,17/01/2007,2,Aurangabad,Maharashtra,OBC,31,114,82,227,2023
NEET2023100776,Female,27/12/2008,1,Delhi,Delhi,ST,102,112,88,302,2025
NEET2024100777,Male,30/12/2001,4,Nashik,Maharashtra,ST,132,52,70,254,2025
NEET2026100778,Female,04/04/2007,3,Hyderabad,Telangana,EWS,69,60,212,341,2024
NEET2024100779,Female,10/01/2004,4,Delhi,Delhi,ST,54,124,322,500,2026
NEET2025100780,Male,04/01/2003,4,Ratnagiri,Maharashtra,ST,138,53,276,467,2023
NEET2024100781,Female,14/06/2000,1,Sangli,Maharashtra,SC,117,148,174,439,2026
NEET2024100782,Female,26/11/2004,2,Pune,Maharashtra,EWS,152,106,136,394,2026
NEET2023100783,Male,25/04/2003,4,Ratnagiri,Maharashtra,ST,42,171,99,312,2023
NEET2025100784,Male,18/03/2005,1,Delhi,Delhi,General,175,94,241,510,2026
NEET2023100785,Female,05/01/2002,3,Hyderabad,Telangana,SC,76,130,83,289,2026
NEET2024100786,Male,29/06/2008,2,Delhi,Delhi,General,145,97,234,476,2025
NEET2023100787,Female,21/07/2007,1,Pune,Maharashtra,General,141,166,69,376,2024
NEET2025100788,Female,10/05/2007,4,Solapur,Maharashtra,SC,147,133,309,589,2023
NEET2023100789,Male,27/05/2001,1,Nagpur,Maharashtra,OBC,33,78,117,228,2026
NEET2024100790,Male,10/04/2007,3,Nagpur,Maharashtra,ST,91,141,335,567,2024
NEET2024100791,Female,25/04/2005,4,Thane,Maharashtra,ST,35,59,145,239,2023
NEET2026100792,Male,15/01/2005,3,Ratnagiri,Maharashtra,General,92,81,210,383,2023
NEET2025100793,Male,26/01/2007,4,Chennai,Tamil Nadu,ST,140,136,313,589,2026
NEET2023100794,Female,03/10/2005,3,Ratnagiri,Maharashtra,EWS,154,89,91,334,2023
NEET2026100795,Female,02/01/2003,4,Kolkata,West Bengal,ST,136,151,119,406,2023
NEET2026100796,Male,22/10/2001,2,Aurangabad,Maharashtra,EWS,79,150,236,465,2025
NEET2026100797,Female,02/10/2006,3,Chennai,Tamil Nadu,ST,149,63,210,422,2024
NEET2024100798,Male,22/12/2006,2,Nashik,Maharashtra,OBC,102,52,307,461,2026
NEET2024100799,Male,17/02/2001,1,Hyderabad,Telangana,General,136,156,215,507,2025
NEET2023100800,Male,04/12/2002,3,Kolhapur,Maharashtra,ST,70,74,317,461,2023
NEET2026100801,Female,04/12/2006,3,Nashik,Maharashtra,SC,60,173,174,407,2023
NEET2023100802,Male,20/08/2008,4,Kolkata,West Bengal,ST,172,98,137,407,2023
NEET2023100803,Male,09/03/2001,1,Hyderabad,Telangana,OBC,56,173,81,310,2025
NEET2026100804,Male,05/10/2001,2,Bengaluru,Karnataka,SC,104,143,319,566,2025
NEET2023100805,Male,18/07/2001,4,Pune,Maharashtra,SC,81,142,272,495,2025
NEET2026100806,Female,30/08/2005,2,Nagpur,Maharashtra,OBC,51,98,250,399,2026
NEET2026100807,Female,29/10/2008,3,Nashik,Maharashtra,General,65,139,271,475,2026
NEET2023100808,Female,19/08/2001,3,Hyderabad,Telangana,ST,32,162,95,289,2024
NEET2023100809,Female,12/11/2004,4,Mumbai,Maharashtra,ST,130,39,137,306,2025
NEET2025100810,Male,03/02/2008,4,Bengaluru,Karnataka,ST,110,118,64,292,2024
NEET2024100811,Female,07/02/2006,1,Ratnagiri,Maharashtra,General,143,118,267,528,2025
NEET2025100812,Male,16/05/2004,1,Bengaluru,Karnataka,EWS,62,163,336,561,2025
NEET2025100813,Male,05/11/2005,3,Kolhapur,Maharashtra,ST,70,35,74,179,2023
NEET2025100814,Male,17/03/2008,1,Mumbai,Maharashtra,General,125,96,319,540,2026
NEET2024100815,Male,05/05/2003,3,Ratnagiri,Maharashtra,SC,31,146,233,410,2025
NEET2024100816,Male,24/06/2007,3,Hyderabad,Telangana,EWS,176,65,253,494,2024
NEET2026100817,Female,23/09/2008,1,Kolhapur,Maharashtra,General,146,55,135,336,2023
NEET2026100818,Male,06/10/2004,3,Kolkata,West Bengal,EWS,63,151,169,383,2026
NEET2026100819,Female,06/08/2006,4,Sangli,Maharashtra,ST,162,131,195,488,2026
NEET2026100820,Male,29/10/2001,1,Nagpur,Maharashtra,OBC,159,62,308,529,2026
NEET2023100821,Female,22/04/2005,1,Mumbai,Maharashtra,General,70,173,249,492,2025
NEET2023100822,Female,30/05/2006,3,Aurangabad,Maharashtra,SC,40,163,138,341,2025
NEET2026100823,Male,19/04/2003,3,Solapur,Maharashtra,SC,37,66,132,235,2024
NEET2025100824,Male,19/01/2002,1,Chennai,Tamil Nadu,ST,155,30,122,307,2026
NEET2026100825,Female,05/06/2006,2,Aurangabad,Maharashtra,OBC,174,145,232,551,2026
NEET2023100826,Female,16/07/2008,4,Solapur,Maharashtra,OBC,144,68,226,438,2026
NEET2023100827,Male,20/10/2003,1,Sangli,Maharashtra,EWS,41,143,202,386,2025
NEET2024100828,Male,17/04/2006,2,Delhi,Delhi,ST,61,173,103,337,2023
NEET2025100829,Male,07/05/2001,2,Delhi,Delhi,EWS,166,76,69,311,2026
NEET2023100830,Female,12/12/2000,1,Hyderabad,Telangana,SC,166,112,265,543,2026
NEET2026100831,Female,09/01/2002,1,Thane,Maharashtra,General,36,165,222,423,2023
NEET2025100832,Male,28/01/2006,2,Nagpur,Maharashtra,SC,103,66,153,322,2026
NEET2023100833,Male,11/08/2007,3,Nagpur,Maharashtra,ST,45,113,152,310,2023
NEET2026100834,Male,03/08/2003,1,Nagpur,Maharashtra,OBC,135,112,192,439,2024
NEET2026100835,Male,07/06/2008,3,Ratnagiri,Maharashtra,General,180,90,312,582,2025
NEET2023100836,Female,18/03/2005,2,Sangli,Maharashtra,General,134,46,307,487,2025
NEET2024100837,Female,19/03/2006,4,Ratnagiri,Maharashtra,ST,55,93,344,492,2023
NEET2024100838,Male,17/02/2007,4,Sangli,Maharashtra,EWS,82,66,251,399,2026
NEET2023100839,Male,20/06/2000,4,Mumbai,Maharashtra,SC,148,104,145,397,2025
NEET2025100840,Male,17/08/2007,2,Thane,Maharashtra,EWS,119,84,359,562,2023
NEET2025100841,Female,16/05/2003,2,Pune,Maharashtra,EWS,131,61,131,323,2025
NEET2024100842,Female,25/08/2007,3,Kolhapur,Maharashtra,OBC,96,145,199,440,2026
NEET2026100843,Male,21/09/2006,1,Kolhapur,Maharashtra,OBC,34,64,61,159,2026
NEET2023100844,Male,26/03/2006,1,Kolkata,West Bengal,ST,155,130,335,620,2023
NEET2024100845,Male,16/12/2003,1,Chennai,Tamil Nadu,ST,126,121,258,505,2025
NEET2025100846,Female,01/03/2002,2,Solapur,Maharashtra,General,32,86,70,188,2025
NEET2023100847,Female,19/01/2008,4,Nashik,Maharashtra,EWS,89,156,245,490,2024
NEET2026100848,Male,30/01/2000,2,Nashik,Maharashtra,EWS,131,58,202,391,2024
NEET2025100849,Male,24/09/2000,3,Ratnagiri,Maharashtra,OBC,62,46,125,233,2023
NEET2026100850,Male,09/10/2007,4,Delhi,Delhi,General,166,94,346,606,2025
NEET2026100851,Female,06/11/2004,3,Chennai,Tamil Nadu,EWS,134,100,122,356,2023
NEET2026100852,Female,02/02/2008,1,Nashik,Maharashtra,ST,42,101,275,418,2024
NEET2026100853,Male,02/10/2003,2,Pune,Maharashtra,OBC,176,36,175,387,2024
NEET2026100854,Female,10/09/2003,1,Aurangabad,Maharashtra,EWS,46,54,74,174,2025
NEET2025100855,Male,22/10/2002,3,Nashik,Maharashtra,EWS,57,151,182,390,2024
NEET2023100856,Male,25/10/2000,1,Hyderabad,Telangana,General,142,54,288,484,2026
NEET2026100857,Male,07/07/2003,3,Kolkata,West Bengal,EWS,46,62,91,199,2026
NEET2025100858,Female,26/09/2000,4,Pune,Maharashtra,General,44,173,86,303,2026
NEET2026100859,Female,12/08/2002,1,Chennai,Tamil Nadu,SC,32,146,256,434,2023
NEET2023100860,Male,02/02/2005,1,Sangli,Maharashtra,EWS,114,180,158,452,2023
NEET2025100861,Female,25/08/2006,4,Hyderabad,Telangana,ST,79,176,124,379,2026
NEET2024100862,Female,31/01/2002,4,Nashik,Maharashtra,EWS,65,41,90,196,2025
NEET2026100863,Female,28/06/2003,3,Ratnagiri,Maharashtra,SC,168,67,135,370,2025
NEET2024100864,Male,03/02/2000,4,Sangli,Maharashtra,SC,180,67,89,336,2024
NEET2024100865,Female,31/03/2002,4,Delhi,Delhi,EWS,81,47,234,362,2025
NEET2025100866,Male,27/06/2006,1,Ratnagiri,Maharashtra,ST,115,106,274,495,2023
NEET2026100867,Male,24/07/2005,2,Nashik,Maharashtra,ST,30,87,177,294,2025
NEET2023100868,Female,19/04/2008,1,Thane,Maharashtra,General,82,132,154,368,2025
NEET2026100869,Male,02/05/2000,3,Sangli,Maharashtra,General,59,66,208,333,2023
NEET2025100870,Male,26/03/2002,3,Nashik,Maharashtra,EWS,102,74,172,348,2024
NEET2023100871,Male,01/01/2002,2,Nashik,Maharashtra,ST,35,75,194,304,2023
NEET2024100872,Female,18/10/2003,3,Kolkata,West Bengal,OBC,83,108,293,484,2026
NEET2024100873,Male,22/12/2007,4,Pune,Maharashtra,SC,60,66,126,252,2025
NEET2024100874,Female,21/09/2006,2,Thane,Maharashtra,SC,92,41,360,493,2024
NEET2026100875,Male,06/08/2000,1,Delhi,Delhi,ST,101,62,320,483,2023
NEET2026100876,Female,16/11/2001,2,Sangli,Maharashtra,SC,129,160,251,540,2025
NEET2025100877,Female,22/11/2005,1,Bengaluru,Karnataka,OBC,153,156,302,611,2024
NEET2025100878,Female,11/04/2002,4,Solapur,Maharashtra,EWS,90,131,171,392,2024
NEET2023100879,Female,12/03/2004,4,Aurangabad,Maharashtra,EWS,170,51,128,349,2025
NEET2025100880,Female,31/07/2002,4,Ratnagiri,Maharashtra,ST,40,149,322,511,2026
NEET2026100881,Male,02/08/2004,2,Kolhapur,Maharashtra,ST,157,111,199,467,2024
NEET2025100882,Male,23/12/2002,3,Delhi,Delhi,OBC,49,121,102,272,2023
NEET2024100883,Female,30/04/2001,2,Pune,Maharashtra,SC,122,39,339,500,2025
NEET2025100884,Male,24/05/2003,3,Bengaluru,Karnataka,SC,100,78,130,308,2025
NEET2026100885,Male,12/10/2008,4,Thane,Maharashtra,OBC,133,178,66,377,2024
NEET2026100886,Female,10/02/2008,3,Bengaluru,Karnataka,General,83,151,179,413,2025
NEET2026100887,Male,08/02/2002,3,Thane,Maharashtra,OBC,136,83,284,503,2024
NEET2025100888,Male,05/06/2003,4,Bengaluru,Karnataka,ST,32,157,241,430,2026
NEET2023100889,Male,21/07/2008,2,Hyderabad,Telangana,OBC,167,106,226,499,2025
NEET2024100890,Female,16/05/2006,1,Delhi,Delhi,EWS,176,130,255,561,2026
NEET2026100891,Female,10/02/2002,1,Solapur,Maharashtra,OBC,57,114,351,522,2023
NEET2023100892,Male,27/07/2007,2,Sangli,Maharashtra,General,75,38,310,423,2026
NEET2023100893,Female,08/03/2003,1,Nashik,Maharashtra,SC,89,104,328,521,2023
NEET2023100894,Male,04/12/2001,4,Kolhapur,Maharashtra,ST,135,130,140,405,2023
NEET2025100895,Female,12/05/2004,4,Kolkata,West Bengal,OBC,82,63,165,310,2025
NEET2024100896,Male,03/08/2006,2,Nashik,Maharashtra,ST,158,147,201,506,2023
